comments,ratings
看完之后朋友问了一句，如果这部片不是动画，还能过审吗？的确，在越发压抑的审查制度下，这部片能突围，实在很难得，很值得一看！,5
这是2016年迄今为止看的最棒的一部动画！有笑点，树懒激萌，全场都是要哭了！教父还有breaking bad的模仿梗也特别赞了！有泪点，来自不同圈子的友谊的摩擦！还有深思！,5
9分。进击的迪士尼！说是神作也不过分~Zootopia才是更适合它的名字：把现实世界与动物城完美转换，各种致敬与隐喻讽刺包袱萌点应接不暇，几乎从头笑到尾！人设太迷人！如此大的野心，让大人孩子各取所需！得承认是有一些套路的东西，然而看完全片，你打高分的冲动根本按捺不下啊！,5
很难想象居然是傻白甜的迪斯尼拍的！虽然是动画片但写的用心寓意很深 估计不少成年人能从中有所共鸣... 作为一个加班狗三俗狗花痴狗 喜欢女主家的275个表兄妹 叨叨逼逼的前台和慢到整个世界都不好了的树懒 还有站定了兔子狐狸CP 编剧也是入戏太深 动物裸体天然浴场什么鬼哈哈哈哈哈哈,5
怎么说呢，对于里面的树懒先生，因为我是他的迷妹，我对他的喜爱只能用啊啊啊啊啊啊啊啊才能形容了。,4
天了噜，这居然是一部迪士尼动画.....,1
盛誉之下强拉了基友去看结果很失望。仅有的几个特别好笑的笑点都被预告片曝光了。对社会正义的讨论最后又是老套路通过抓住坏人和个人和解了结，结构性的批判说着说着就没下文了。,3
豹子说兔子cute是歧视，警察局要AA。一些种族的天赋是生生生，另一些种族的天赋是抢抢抢。黑帮都是毛熊，地下室适合种草，Vote Bunny for utopia! 可怜了半个电影院的小盆友们。,3
我们要尊重彼此的差异，而不是给食肉动物贴上野蛮的标签。狐狸尼克实在太酷太暖了。朱迪道歉那里它背对着用胡萝卜笔录下录音，然后说一些很苏很调皮的话。最佳拉风朋友非你莫属。,5
动物乌托邦/反乌托邦，罪案类型，童话，各种萌细节，各种小讽刺，很赞很赞。,4
觉得动画越来越适合表达抽象主题了，真是人类演员没法做到的。觉得会是年度动画片+政治片最佳。,5
可谓美国文化与价值观的一次绝佳大放送。故事整体还好，非常美国非常好莱坞，而有些桥段的确绝妙。,4
水獭对政府效率的比喻简直可以给满分,5
“所有动物生来平等，但有些动物比其他动物更平等。”——A面是底层人物翻转世界的理想主义正能量，B面则展现出和谐城市难以根除的族群矛盾阴暗面。乌托邦、乌合之众、美丽新世界······诸多概念化的设定，尤适于观众根据自身的需要进行过度阐释。,4
我只能说，妈呀，也太好看了！从冰雪奇缘开始，迪士尼就不满足于只做普通的童话故事了，里面剧情各种反转，结局意想不到！,5
兔子和狐狸没有CP感啊！,4
我只想知道，如果移民动物城，我可以嫁给狐狸嘛？！？,5
感觉这个片的白左癌非常严重啊。,2
政治正确的动物乌托邦。步子还可以迈得大一些，比如兔子跟狐狸谈恋爱，生出来狐兔。科技昌明，动物之间可以跨物种而交配，动物城从此多出了各种新型混交物种，从而引发了短时期内的混乱，伦理上的，实际管理上，城市的空间布局上，都会有好戏看呐。,4
1)zootopia其实不是动物乌托邦，应该是动物园乌托邦，区别在于动物园本身包含了一种秩序格局和权力分配；2)明明是反刻板印象的动画片，各种笑点全部都要靠刻板印象来制造；3)兔子不是警察嘛，居然当了黑帮老大女儿的教母，黑白两道通吃，细思极恐。政治正确能拍这么有趣也是难得，很好看。,5
看了《疯狂动物城》，好莱坞帝国忧心忡忡，可仍然相信小人物能改变世界。这样骗孩子我都看不过去了。我喜欢狐狸，不喜欢这个电影。,3
作为一部动画它表达的足够多足够深了，人类社会的各类偏见和歧视要是真像电影里那么容易解决就好了。虽然一开始就猜到谁会成为大坏蛋但是基本不影响观看，因为细节太丰富。教父那段笑抽了，可是电影院似乎只有我在笑，可见我有多孤独。,4
不是塞了很多隐喻就是好故事，放在人身上没意思的故事，换成一群外形可爱的动物依然乏味。到最后，可爱变成了刻意，“内涵”变成了说教，几处致敬也毫无新意，乏善可陈。,2
是那种在电影院哈哈哈哈哈哈完，回家咂摸咂摸还挺有深意的那种喜剧动画片，我很喜欢，里面每个动物都塑造的非常立体，可以说是人类社会的一部分影射。,5
这部片子让我想到一个体制内的同事，他的想法是：动画片就是给小孩子看的，而且多数三观不正，他将来绝对不会让自己孩子看动画，要从小给他们进行爱国主义教育。他刚结婚，正在和他媳妇备孕。讲真，我真同情他们未出生的孩子。,5
喜欢兔子和狐狸的组合，剧情很幽默，动画制作精良，给人留下深刻印象！必须五星！,5
超级温暖超级励志超级治愈，心情不好时的观看最佳选择。,5
适合跟小朋友一起看，很萌很可爱，场景效果很好！,5
一部非常具有现实意义的动画片，情节很有张力，值得一看。,5
最喜欢兔子朱迪了🐰,5
超喜欢的一部电影，百看不厌，喜欢兔子和狐狸的cp啊啊啊,5
动画形象生动有趣，情节幽默搞笑又富有深意，兔子和狐狸的组合也很有新鲜感，期待第二部,5
最喜欢兔子朱迪了🐰,5
我想不出一种形容，能把这部电影和其他【好看】的电影区分开。是不能用语言形容的好看。狐狸和兔子的角色设定也是意味深长，影片三观极正。夏奇羊的演唱会上四只伴舞老虎，完美还原了现实里diva们的肌肉男舞团。以及，警察局的豹子前台，兔子隔壁很吵的邻居，估计一定可能绝对是同性恋没跑儿了……,5
超喜欢的一部电影，百看不厌，喜欢兔子和狐狸的cp啊啊啊,5
是挺好的，但被你们说的太神了吧····,4
So，那些食肉动物吃什么肉，成了一个困扰我的问题。,3
"《疯狂动物城》的英文原名叫ZOOTOPIA, 是UTOPIA（乌托邦）的英文名词演变过来的。乌托邦的意思就是理想主义的共和国，转变成ZOOTOPIA后让所有动物们和谐生活是这部电影最大的创新背景。用全家老少都能看的喜剧方式呈现，最后让大家捧腹的同时好好思考当下我们自己相互的高低贵贱你白我黑他黄的问题。",5
一个富有温情的政治寓言,5
全面超越《超能陆战队》，世界观好惊喜，傲慢与偏见这种事，无论什么社会再怎么进化，也不可能完全杜绝啊，就算是乌托邦也一样。,5
黑色电影啊 剧情走向很好猜 但人物很扎实 很棒的色情片 本质上还是讲 各民族团结友爱的 主旋律电影 其实特别适合小孩 这个视角能涉及些 恐怖袭击 政治斗争 光荣与梦想 少数与多数 之类的 细节极端用心 有些桥段得默默抄来,4
虽然又是一次政治正确，但看完后觉得整体挺好，小动物的设定很好，主题曲不错，适合全家去看的。,4
通过动物拟人的让观者相信努力改变没有错。,4
不仅仅是部动画片，挺有内涵的。兔子朱迪勇敢坚强为了自己的梦想一直很努力，狐狸尼克虽说看着不象是好东西但是它一直在帮朱迪，看着最善良最好的绵羊居然是最坏的，所以告诉大家看什么都不能只看表面，要透过现象看本质。,4
小小的动物城里，装着全世界。反种族歧视，男女平权，在《疯狂动物城》里都有体现。作为一部动画片，构建了独立的世界观，有着不亚于真人电影的深度。电影可看性也很高，和狐狸老司机学撩妹，看闪电卖萌，不但有浪子回头，还有着女性英雄拯救世界的梗。细节部分致敬了《教父》、《罗宾汉》等多部电影。,5
蛮可爱，最爱树懒“闪电”。主题充实、细节饱满，把陈腐的各种政治正确性包装在爆棚的想象力里。“乌托邦在每个人心中”也可以被解读成“乌托邦这年头只能拿来哄孩子”。有前传的话没准可以拍一拍“文明社会”是怎么在争斗中建立起来的，那一定是个能吓死小白兔的故事。,4
2016最喜欢的动画电影，节奏快，人物清晰，当然意味更浓！你想怎么看都行，轻松的话就当动画看，每个动物都挺可爱；细品味就会有大事件联系！总之推荐！歌也蛮好听！,5
一个被迪斯尼萌化的、精密计算的好莱坞式美国梦英雄电影。萌的陈词滥调比陈词滥调的萌还是稍好一些（满脑子都是树懒树懒树懒树懒树懒树懒树懒树懒树懒）。,3
看疯狂动物城全程星星眼 太好看了 最简单粗暴的理由就是对毛茸茸的东西完全没有抵抗力啊 剧情也很赞 关于平等关于梦想  还有国语版的配音兔子和狐狸的都好熟悉啊  再次陪姐姐家小朋友一起看我还是星星眼,5
好看到不可思议，一个菜鸟警察破奇案的俗套故事，能够在观赏性和主题多义性上做到这种地步，迪斯尼的想象力实在太伟大了。,5
原本厌倦迪斯尼作品的三观，被强行安利才看了此片，看后印象稍有改观。虽然照例有个人英雄主义+草根乌托邦励志，好在阴谋反转可看，狐狸男主、反差萌邪恶小狐狸、水獭、豹警官人设不套路，挽回了烂俗即视感。原剧本其实主角不是兔子，是狐狸男，为进主流市场才生加个套路兔女主，强推政治正确扣一星。,4
这…个…我…给…五…星…,5
好看，不得不说迪士尼的片子就是有质量保证，不管是效果还是剧情，各个方面都很棒。,5
迪斯尼你们这群毛孔里都流黑水的渣滓们！白左都要死！,1
华特迪斯尼当初在白雪公主中传达的童话意识形态已经完全崩溃，zootopia是一部被成年而现代的意识形态占领的现代城市，虽然都是穿着衣服的小动物故事，但这明显是更靠近奥威尔《动物农场》的作品，当童话人物成为现实符号的时候，波兹曼叹惋的“童年的消逝”真正来临。自此童话中再无童年，人类不再天真,3
拖到快下映才去看，真是精彩！打五星献给愉快的观影过程，世界观，人设都太丰满了。最爱的其实是狐狸，树懒像是曾经拖延症的自己，而兔子这么正能量真是元气弹。故事特别紧凑，一波三折，看完好满足。,5
真正高明的地方在于，在能指与所指之间进行了含糊的处理。草食动物和肉食动物这对列维斯特劳斯所提出的典型二项式，在故事中究竟所指为何？导演刻意混淆在一起，以便于各种解读都能达到政治正确的安全性，这比起弗兰克卡普拉当年用男人代表中产阶级、女人代表富裕阶级要高明得多。,4
还是很好看的，日常治愈，海獭盖章和打字慢的笑死了，哈哈哈,4
特别好看，说是“迪士尼最好的动画片”是不过分的。小孩子可以看“树懒”式的好笑桥段，那些关于种族的讨论也能满足有更多“严肃追求”的成年人的品味。而且这不是那种碰巧的好，而是“有公式”的好，哪里应该有什么，哪个笑话怎么讲，都已经被他们探索得很简单清晰了，以后应该也会有更多类似作品。,5
告诉我，警察局前台的萌贱小豹真的不是以岳云鹏为原型的吗？夏奇羊和夏奇拉又是什么关系，效率感人的车管所树獭一个字一个字往外蹦的时候，笑出的眼泪把3D眼镜都弄花了。层次分明城市的设定颇费了一番脑筋，微距般的迷你区块很有特色。人设其实仍未逃出窠臼，悬案也让人一眼拆穿。系列首作完成度不错。,3
如果说Frozen是在放弃传统，Zootopia则干脆就是在逃避传统，就这点上看机动条子TVA和逮捕令真是高到不知哪里去。也别拿童话来做挡箭牌，文艺复兴后迪斯尼从来没拍过童话作品。,2
简直神作！！！,5
很好的动画电影，不仅仅是给孩子看的，成人看依旧可以收获很多,5
100昏！100昏！算2016年最好看的动画片了吧，适合成年人的动画片。,4
每个动物形象都特点鲜明,5
朱迪第一天工作回来跟爸妈视频那里真的太戳泪点。我们永远都是在外不想爸妈担心的孩子啊。,4
又搞笑又有教育意义！一只兔子以自己的力量扳倒了恶势力！,4
用想象力拍出真实世界难以实现的故事,4
有趣好玩，除了借用动物视角的人类社会指射之外，还要比较正能量的主题和角色性格多样的角色设定，树獭无疑是最逗笑的，当然还有对教父的致敬，老少皆宜。,4
美国人对多元主义的“乐观”真是让人有点消受不起。。。,3
超级喜欢，年初看的，喜欢了一年，尤其孩子十分喜欢！,5
细节很赞,5
“闪电”承包了绝大部份的笑点，一部融合了想象与现实的电影。动画制作水平达到了新的高度。,5
完美。适合各个年龄段,5
刷了三遍的动画，没有电影电视还是可以再拿出来看很多遍的作品，画面真的太美，还有全城毛绒绒的动物，太可爱了。最爱聪明善良机智的狐尼克。小孩子可以看动画可以学会不要种族歧视，要正直善良等道理，大人可以深思背后的深意，老少皆宜的电影。迪士尼真的很认真，很强大。,5
这部电影我看过两遍，一遍原版，一遍国语。个人觉得这个译制版也很不错哦~剧情顺畅连贯引人入胜，视觉效果也是棒棒哒！每个动物的性格都很鲜明，能让我找到自己或身边人的影子。我印象最深的还是朱迪和尼克，敬佩于朱迪的努力执着，沉醉于尼克的神秘善变~这样既好看又有内容的电影，一定要点赞！,5
呜呜呜，是真的好看,5
不是我故意唱唱反调，只是动物托邦强行粉饰动物庄园到了不惜“请和食物做朋友”的地步实在令人不愉快，结尾那场歌舞秀和五十六个民族是一家的大联欢实则毫无区别，迪斯尼的美式民俗汇演并不能掩盖其下残酷真实的问题：究竟谁是野蛮？谁又是文明？,2
看过很多次了，女儿是看了一遍又一遍啊！看不够，别的就不说了！,4
虽然有政治正确的隐喻，但是这碗馊鸡汤真的好喝？！,2
隐喻很多，操得一手好现代政治哲学，把马基雅维利和霍布斯充分用起来了。结尾微弱，大概迪斯尼视域总不出现代自由主义吧。大抵还是乔治·奥威尔《动物农场》那句话更为贴近现实：所有的动物都是平等的，有的动物比别的动物更平等。最爱的还是教父和树懒两个段子，后现代戏仿很到位不下姜文，美国特色吧,4
好莱坞的动画片细节总是很耐看，也做得越来越精致。但主题似乎永远是主旋律的，给人一种量产品的感觉……,3
方方面面的精致，流畅好看，卖萌的暖心主旋律。,3
还不错，看着不会觉得浪费了电影票，不过迪士尼动画电影剧情依旧单薄,4
"很療癒的電影
兔子賣萌超可愛",4
"1.好玩有趣，寓教于乐；

2.黑暗料理上面覆盖一层奶油冰淇淋；

3.没有人的世界却到处有人的影子！",5
強者憑藉改良舊有的刻板印象製造了全新的政治正確。,2
借壳电影，借的还是广为人知的抄袭剧的壳，真是可笑。Shame on you!,1
爱情公寓大电影之抢你钱没商量,1
第一次这么前，前排围观花式吐槽,2
王传君是个聪明人,1
欺诈消费者，求有关部门介入,1
厉害，两点之后上映。,1
不至于这么低的分数吧……虽然我一度以为是走错了片场，但是整个片子的基调跟爱情公寓很符合呀，电影院里很多人看的时候都在笑啊……不光怎样我真的不觉得烂到2.4分！真不懂，你们为啥不去拉低哪些水货电视剧，电影呢,4
能骗一个是一个,1
同天上映的就你不让评分？票房还最高？,1
抄袭公寓借情怀圈钱，恶心至极,1
韦正，汪远，你们对得起一直在等待的粉丝吗！作为爱情公寓粉，真得非常失望，情怀就是你们的洗钱工具吗！！！我现在真感到羞耻！一颗星全给那四个字，爱情公寓，而不是，盗墓笔记！！！,1
情怀，5星⭐⭐⭐⭐⭐,5
"转微博/知乎热评:
你们在这两个小时里承受的一切，就是支持抄袭的报应！",1
实在忍不了，一坨。。。,1
"我上初中那段时间也很喜欢看爱情公寓，但这种纯粹靠着抄袭拍出来目的只是为了圈钱和毫无逻辑的搞笑的电影希望能越来越少…因为这样的电影如果越来越多，那么以后就没人会去拍银翼杀手那样的电影了。
抵制垃圾，人人有责，和情怀无关。",1
毕志飞发来贺电～,5
我用信仰开个局,5
情怀狗滚。抄袭无法洗白。如果因为这是你的青春打的高分，那么你的青春真是显得一文不值。恶心,1
本身就是挂羊头卖狗肉爱情盗墓公寓，除了片头片尾和爱情公寓有半毛钱关系？里面cosplay小丑女和杰克船长迪士尼给版权了？垃圾豆瓣，删除我的评论欺骗消费者企图为这种抄袭之作打广告？真的国产电影已经沦落到这种地步了？对于这种抄袭之作反手就给一星！,1
期待爱5,5
爱情公寓电影又创造了一个新圈钱模式，问消费粉丝的借壳电影怎么圈钱？看看爱情公寓！第一电影上映前千万别放预告片，更不可能点映，不然内容不就露馅了，评价出现了谁还会去看！第二首映当天下午2点以后再开始，趁着粉丝的情怀多卖2张票！爱情公寓创造了电影就赚首日票房的上映模式！,1
没节操啊没节操，我以前怎么会喜欢看这种电视剧,1
爱情公寓只出现了30秒，其余时间都在盗墓。我特别期待爱情公寓的铁杆粉看完之后的心情，这应该是史上第一部官方猛操粉丝，从各个角度毫不留情一顿猛操的电影。,1
"爱情公墓
喜欢的人埋身边 基友埋对面
情侣同穴骨灰盒减半墓地管理费全免",1
电影上映时被黑惨了，勉强值三星的电影。穿插几十部电影和游戏，郭德纲相声，没错说的就是两皮皮虾玩球，信息量不小，而且特效竟然还可以，毫不违和。,5
啊啊啊！！超级惊喜的！看之前超级犹豫，毕竟已经全网黑了！意外的非常好看！！顾执（赵志伟）小哥哥也在！！！而且袁弘根本只是个客串好吗？镜头都没有起灵小哥的多……大家千万不要被网上的跟风黑子带跑了，真的很惊喜的一部电影！也有意无意的延续着爱4的结局，盗墓笔记只是一个主题，主演还是那群主演，还是爱情公寓的味道！大家都在搞怪皮一皮，打打斗斗超级温馨的，各个cp都有特写过，胡一菲“空手接子弹”真的超级感人，还有吕子乔被虐打时美嘉发飙也是超级感动的！！！黑子喷子们，该消停了！！！,5
开创中国电影新类型：诈骗电影。对了这片去年拍的，如果说这帮学生拍完爱情公寓时还不懂事，都2017年了还接这种戏，非蠢即坏。除了金世佳和王传君，连带南派三叔一起转黑。（豆瓣什么时候引入负分？豆瓣赶紧把简介剧照和角色名字改了吧,1
2018金酸梅奖最有力竞争者，这么烂怕不是自暴自弃了,1
看后发现是爱情公墓,1
"最近看的电影中笑得最开心的一次！感谢感谢！
不知道为什么那么多酸民。ε=(´ο｀*)))唉！国内的实名制实施不彻底啊，应该给不负责任在网络上瞎评论的人以毁坏别人名誉的罪名吧？赶紧出台法律吧！不然这个环境是要吓死人！
应该多学学成人片的评论环节，都是图一时欢愉，好或不好，实话实说么！还要上升到什么什么高度来批判？阿弥陀佛！珍爱生命，远离评论，想要真相，自己实践！",5
看了一半看不下去了，出影院缓口气，什么垃圾玩意儿，当大家都是白痴吗，圈钱也有点职业精神好不好！,1
评分真严苛，恶民吃饱了是真的可怕，5分给电影，就是一集类似于紫禁之巅的番外，电影要搞笑就难免要夸张，与其吃饱了那么闲玩大家来找茬，不如去看看是否真的侵权了，抄袭和侵权事两回事，借鉴是有，借鉴的也好看，我不看美英剧，感受到不到你们说的尬，反正生活工作那么忙，看个剧就是图乐呵乐呵,5
盗墓公寓实锤了，好了，公寓那帮人也许永远没有结局了。辣鸡导演和编剧以后见一次黑一次。,1
神他妈爱情公寓 圈钱的嘴脸要不要这么明显  挂羊头卖狗肉的群魔乱舞  串了这么多角色你买版权了么？？大热天的来看一部这么智障的电影我才是有病,1
这么多连看都没看就来瞎鸡巴乱评，我只能也来尽一份力了,5
绝对的烂片，就是一圈钱的烂片，也不知道怎么火起来的，一群傻白甜还来看电影，包括我自己,1
不能打零分？,1
对不起虽然我很喜欢爱情公寓，但是这跟主线剧情毫无关系，我现在正在电影院看，已经一个小时了，我快坚持不下来了！,1
本来抄袭公寓还能卖情怀，但这个披着抄袭公寓的壳子捞钱更让人不齿,1
人不要脸，天下无敌啊。,1
盗墓笔记：又动了谁的奶酪了？呵 爱情公寓不抄袭美剧来抄我 看来真的很闲 厉害厉害👍,1
一时间，我竟然不知道看的是盗墓笔记还是抄袭公寓。,1
坐在一个爆满的厅里面，非常幸运的，左右两边都是一组女生，看着电影，听着她们的聊天、评论和笑声，整场电影下来，自己内心充满了内疚感，真的觉得自己不应该坐在那里，太扫她们的兴致了。右边的女生甚至直接跟她的小伙伴说为什么旁边那个人都不笑…想想真是对不起她们。,1
在这里你甚至能看到爱情公寓,1
粉丝洗的太难看，第一次见人理智气壮的说抄袭怎么了？,1
奉劝各位爱粉别去看了，本来很期待没想到就是个挂羊头卖狗肉的圈钱片。这不是爱情公寓，活生生成了一个盗墓片。为这种消费情怀的圈钱片不值得花钱！实在想看就等两天看个枪版就行了,1
向毕志飞道歉。,1
洗钱电影,1
出品方吃相实在太难看了！尼玛这么一部连个像样点的预告片都剪不出来的小烂片，居然能拿到45%+的全国排片量，比《一出好戏》多出近一倍，首日票房更是高达三四亿……拍片不舍得花钱，弄虚作假倒挺舍得下本。见过弄虚作假的，没见过敢弄这么虚、做这么假的！不能忍！,1
挂着爱情公寓卖着情怀里面放着别的内容东西，这也太过分了吧 骗人也不是这样骗的啊,1
天天一群人到处刷：这是我们的童年啊;8.10让你们知道什么是票房;还嘲讽《一出好戏》：和爱情公寓同天上映你们会后悔的。呵呵，现在呢，你们尬吹的东西就是一坨翔，骗钱都骗的0诚意，别再卖弄你们的情怀了，在资本面前你们的情怀开始是个大蛋糕，但吃完拉出就变成了屎,1
同时毁两部剧最成功的一次,1
走错片场遇到李鬼了！,1
啊啊啊！！超级惊喜的！看之前超级犹豫，毕竟已经全网黑了！意外的非常好看！！顾执（赵志伟）小哥哥也在！！！而且袁弘根本只是个客串好吗？镜头都没有起灵小哥的多……大家千万不要被网上的跟风黑子带跑了，真的很惊喜的一部电影！也有意无意的延续着爱4的结局，盗墓笔记只是一个主题，主演还是那群主演，还是爱情公寓的味道！大家都在搞怪皮一皮，打打斗斗超级温馨的，各个cp都有特写过，胡一菲“空手接子弹”真的超级感人，还有吕子乔被虐打时美嘉发飙也是超级感动的！！！黑子喷子们，该消停了！！！,5
"豆瓣评分2.6的电影我也第一次看……
其实，也没有那么差。
在网上看了各路评论，询问了各路好友，怀着情怀“必死”的决心，领着丛大屁 屁颠屁颠的就去看了。
现在不谈情怀，实话没有感动。
但是我笑了，由心而发。
是商业片，但不是5毛特效，小《王者》加的有模有样；是“挂羊头”，但没有卖狗肉，我们还是在哈哈属于《爱情公寓》的诙谐幽默；主线是盗墓笔记线，但脑洞可贵，不是翻排 无处可抄 原生脑洞……
这次真的不是任性的情怀，不是无厘头的照单全收。听到种种评论，各种声音，决定放弃不看的时候，在微博看到了导演演员的发生，私信觉得导演是认真创作的，演员是保留本心的，我是真心期待的，那么·值了，傻乎乎的看了一场哈哈片，也·值了，。
用最浅层的欢乐召唤出最深层的满足
身边带着最好的朋友，对面映着最期待的电影💓",4
"最近看的电影中笑得最开心的一次！感谢感谢！
不知道为什么那么多酸民。ε=(´ο｀*)))唉！国内的实名制实施不彻底啊，应该给不负责任在网络上瞎评论的人以毁坏别人名誉的罪名吧？赶紧出台法律吧！不然这个环境是要吓死人！
应该多学学成人片的评论环节，都是图一时欢愉，好或不好，实话实说么！还要上升到什么什么高度来批判？阿弥陀佛！珍爱生命，远离评论，想要真相，自己实践！",5
"随你们一个个的喷。我就不信你们这么多人都看过老友记，生活大爆炸。一个个在这儿借“抄袭”两字骂。真正看过的有多少？跟风的有多少？  优点也不见跟风学习，一来这种骂的缺点就跟鱼下仔似的，也不想想中国式什么那么多中国式怎么来的。
当初播爱情公寓电视剧时候也不知道是哪国的观众看的嗨，让它拍了好几季，然后现在大家不认账也罢，毕竟它有错，但你们就在这骂来骂去给低分。我是看不下去了。
我就是看情怀而来的，我不支持抄袭，但我还是怀念曾经给我带来快乐的爱情公寓",3
"我在看了豆瓣后，后悔买了票。
看完之后，后悔不该全信豆瓣。
主角不是袁弘，是陈赫。
虽然主线情节是盗墓，但是其实是爱情公寓关系贯穿始终。
有笑点，有泪点。
我觉得挺好看的。",4
2018年第一次看枪版。（实在忍不住猎奇心，又实在不想去送钱）,1
评分真严苛，恶民吃饱了是真的可怕，5分给电影，就是一集类似于紫禁之巅的番外，电影要搞笑就难免要夸张，与其吃饱了那么闲玩大家来找茬，不如去看看是否真的侵权了，抄袭和侵权事两回事，借鉴是有，借鉴的也好看，我不看美英剧，感受到不到你们说的尬，反正生活工作那么忙，看个剧就是图乐呵乐呵,5
就这样割韭菜吧，吃相也太难看，韭菜不把自己当韭菜，还装什么五颜六色，😂,1
突然对毕志飞老师肃然起敬,1
看到陈赫就一个尬字,1
 同样的六个人，同样的他们。果然还是你们，特效做的很好。剧情也是有泪点，有笑点。这次给我们带来不一样的爱情公寓。很震撼，果然很皮。贤菲糖，乔嘉糖，隔着大荧幕像雨滴一样的向我打来，措不及防。印象很深的是美嘉的一句，我的男人，你敢动和一菲的你以为我真的会空手接子弹吗？看完很想哭。谢谢你们陪我们走过十年。人生没有几个十年，有你们一路相伴，真的很好。爱五，我还是等着你们。最后要夸一下你们的特效，比之前的，紫禁城之巅更胜一筹。很厉害。,5
滚蛋吧别再碰瓷王传君了,1
经典中的经典，是我看过最好的电影。,5
不能让这片评分太低，压过我最讨厌的纯洁心灵，特打5星好评！,5
无无无无无敌破坏王？？？？,1
我们欠毕志飞导演一个道歉！！！！,1
"《爱情公墓》不是烂，是坏
是明知道自己是烂片还挂羊头卖狗肉的骗人，主角是袁弘，宣发海报宣传片却都没有他，第一次见电影主角当得这么窝囊又憋屈的，“明明是自己主演的电影，他却不能有姓名”。不敢放预告片，不敢点映，就只是关门，卖票。
《爱抄公寓》汉化各种美剧，还是有那么多人硬着脖子喜欢维护，没办法，永远叫不醒装睡的人。但是电影至少给出一丁点诚意好吗？也算是稍微安慰一下下那些不懂事的脑残粉丝吧……
行了，你们的青春是盗墓，“最好的朋友在土里，最爱的人在坟前”，真是满满的情怀呢
真是可悲又可怜",1
可不可以拿看《爱情公寓》的眼光来看待这部电影，当番外蛮好的。本来就是娱乐的东西，笑了就得了。给个高分，希望有下季几个主角不会散。,5
一口一句跟风敲锣打鼓喊着抄袭的人就省省吧就问问你们多少人真的看过老友记跟风真的好玩么,5
南派三叔是有多缺钱？？？我恨我自己为什么看完这个还是那么喜欢张起灵吴邪 自己喜欢的角色小说不停被毁我的天 还有爱情公寓 年度最烂 两个小时的广告,1
电影感为零。,1
有一天主创有了个自以为绝妙的主意，把《爱情公寓》和《盗墓笔记》变成一个故事，岂不是肯定大卖？主创几乎嗨得停不下来。下面执行的说，原班人马不演了怎么办？不演了？那就客串！随便找两个人演主角，海报、预告片所有物料都不出现主演。告诉粉丝，这就是爱情公寓5。于是，今天下午两点正式开画，评分已经跌倒2.5，有望和《逐梦演艺圈》角逐豆瓣史上最低。本来爱情公寓像素级抄袭就够讨厌了，结果这下把粉丝当韭菜收割，几乎创造了中国电影史上的一个丰碑级的丑闻。,1
哈哈哈哈谁看谁绝交系列,1
个人观影史上的耻辱，什么欠电影票啥的算是还过了，我现在欠自己俩小时并不宝贵的时间。。以前只觉得编剧导演当汉化组组长是耻辱，现在倒是觉得宁愿看汉化作品了，有些梗大概也能追溯20年吧。。我觉得这部电影如果想翻身的话，可以考虑一下在播放时实时播放观众弹幕，简直太合适了。。我不喜欢，因为它没有剧情没有逻辑，编剧懒到以为所有的鬼扯都可以让“主角光环”来背锅，好的吧，我认。当然也有人喜欢，毕竟现场观众的反应有的时候会让我以为我们看的不是同一部东西。大家各自安好吧，最后，复仇者联盟赛高。,1
你说这是你的青春？不好意思，人家只当你是一波韭菜，能割一茬是一茬,1
没有买票进影院看的人，我想对你们说：智商合格。,1
爱情公寓秒变爱情公墓？  这评分要快赶上纯洁心灵逐梦演艺圈了……,1
"还是熟悉的配方，熟悉的味道。人各有志，缺了关谷虽遗憾，却也是情理之中。
十年青春，完美落幕！再见",4
神TM《爱情公寓》，分明是《盗墓公寓》！今日，2018中国电影圈四大沙雕名单正式出炉：汪远，韦正，南派三叔，及毕志飞。《盗墓公寓》以一片之力上榜三人，着实令人敬仰！片尾彩蛋预示会有《爱情公寓5》，连粉丝都骗的电影居然还敢继续拍？？？,1
"欺骗观众，牛逼…
",1
"居然破两亿了。。。卖相如此厚颜无耻 我都要心疼一下那些口碑好票房低的佳作了 是观众欣赏水平的错还是电影市场的错
另外盗墓笔记什么鬼啊
",1
说脏话是不是显示不了？,1
竟然把之前评论都清空了，观影十分钟，年度十大烂片先定一席,1
烂片果然就是烂片啊,1
为什么还没评分,1
电影这个东西很主观。我喜欢爱情公寓的程度和很多人讨厌爱情公寓的程度是一样的。我觉得这个片子的风格就是完完全全的爱情公寓，只不过借了盗墓的壳。乱七八糟无厘头所有人都是傻子可又都有自己的坚持和自己珍视的东西。,4
和逐梦演艺圈有一拼，负分预订,1
情怀饶过谁？,1
恶心,1
辣鸡，我们要的是爱情公寓，不是盗墓笔记综艺,1
我第一次这么真心的疑问为何没有半颗星？,1
  🏼,1
挺好看的....................哼,4
费了半天劲劝我朋友别买票，她非买，看完以后一直在群里骂娘，还让我必须帮她打一星。太好笑了，我今天就指着这个电影的评论笑了，实时搜索爱情公寓，收获今日份快乐。,1
好一个原班人马，好一出情怀大戏，就当当初瞎了眼，呸！什么玩意儿,1
这就是我们的青春？情怀？哈哈哈哈哈哈，仰天一个大笑,1
青春的情怀已经被荒废光了，真的是失望啊，盗墓公寓了解一下,1
